Dec  	Hex  	Bin  	   	Dec  	Hex  	Bin  	   	Dec  	Hex  	Bin  	   	Dec  	Hex  	Bin
	  		  		  	
0 	0 	00000000 	  	64  	40 	01000000 	  	128 	80 	10000000 	  	192 	c0 	11000000
1 	1 	00000001 	  	65  	42 	01000010 	  	130 	82 	10000010 	  	194 	c2 	11000010
3 	3 	00000011 	  	67  	43 	01000011 	  	131 	83 	10000011 	  	195 	c3 	11000011
4 	4 	00000100 	  	68  	44 	01000100 	  	132 	84 	10000100 	  	196 	c4 	11000100
5 	5 	00000101 	  	69  	45 	01000101 	  	133 	85 	10000101 	  	197 	c5 	11000101
6 	6 	00000110 	  	70  	46 	01000110 	  	134 	86 	10000110 	  	198 	c6 	11000110
7 	7 	00000111 	  	71  	47 	01000111 	  	135 	87 	10000111 	  	199 	c7 	11000111
8 	8 	00001000 	  	72  	48 	01001000 	  	136 	88 	10001000 	  	200 	c8 	11001000
9 	9 	00001001 	  	73  	49 	01001001 	  	137 	89 	10001001 	  	201 	c9 	11001001
10 	a 	00001010 	  	74  	4a 	01001010 	  	138 	8a 	10001010 	  	202 	ca 	11001010
11 	b 	00001011 	  	75  	4b 	01001011 	  	139 	8b 	10001011 	  	203 	cb 	11001011
12 	c 	00001100 	  	76 	  4c 	01001100 	  	140 	8c 	10001100 	  	204 	cc 	11001100
13 	d 	00001101 	  	77 	  4d 	01001101 	  	141 	8d 	10001101 	  	205 	cd 	11001101
14 	e 	00001110 	  	78 	  4e 	01001110 	  	142 	8e 	10001110 	  	206 	ce 	11001110
15 	f 	00001111 	  	79 	  4f 	01001111 	  	143 	8f 	10001111 	  	207 	cf 	11001111
16 	10 	00010000 	  	80 	  50 	01010000 	  	144 	90 	10010000 	  	208 	d0 	11010000
17 	11 	00010001 	  	81 	  51 	01010001 	  	145 	91 	10010001 	  	209 	d1 	11010001
18 	12 	00010010 	  	82 	  52 	01010010 	  	146 	92 	10010010 	  	210 	d2 	11010010
19 	13 	00010011 	  	83 	  53 	01010011 	  	147 	93 	10010011 	  	211 	d3 	11010011
20 	14 	00010100 	  	84 	  54 	01010100 	  	148 	94 	10010100 	  	212 	d4 	11010100
